cleaned_text,sentiment,emotion,sentiment_conf,emotion_conf
i am extremely disappointed,Negative,sadness,0.82,0.78
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
i feel happy today,Positive,joy,0.85,0.8
best purchase ever,Positive,joy,0.85,0.8
this made my day so much better,Neutral,neutral,0.6,0.6
best purchase ever,Positive,joy,0.85,0.8
it was okay nothing special,Neutral,neutral,0.6,0.6
i feel happy today,Positive,joy,0.85,0.8
absolutely fantastic quality,Neutral,neutral,0.6,0.6
this made my day so much better,Neutral,neutral,0.6,0.6
it was okay nothing special,Neutral,neutral,0.6,0.6
i feel happy today,Positive,joy,0.85,0.8
this is the worst experience i ve had,Negative,sadness,0.82,0.78
this is the worst experience i ve had,Negative,sadness,0.82,0.78
best purchase ever,Positive,joy,0.85,0.8
the service was terrible,Negative,sadness,0.82,0.78
this made my day so much better,Neutral,neutral,0.6,0.6
this is the worst experience i ve had,Negative,sadness,0.82,0.78
absolutely fantastic quality,Neutral,neutral,0.6,0.6
the service was terrible,Negative,sadness,0.82,0.78
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
the service was terrible,Negative,sadness,0.82,0.78
this made my day so much better,Neutral,neutral,0.6,0.6
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
it was okay nothing special,Neutral,neutral,0.6,0.6
i feel happy today,Positive,joy,0.85,0.8
i love this product it s amazing,Positive,joy,0.85,0.8
the service was terrible,Negative,sadness,0.82,0.78
absolutely fantastic quality,Neutral,neutral,0.6,0.6
this made my day so much better,Neutral,neutral,0.6,0.6
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
this made my day so much better,Neutral,neutral,0.6,0.6
this is the worst experience i ve had,Negative,sadness,0.82,0.78
this made my day so much better,Neutral,neutral,0.6,0.6
absolutely fantastic quality,Neutral,neutral,0.6,0.6
i am extremely disappointed,Negative,sadness,0.82,0.78
i am extremely disappointed,Negative,sadness,0.82,0.78
this made my day so much better,Neutral,neutral,0.6,0.6
this made my day so much better,Neutral,neutral,0.6,0.6
best purchase ever,Positive,joy,0.85,0.8
the service was terrible,Negative,sadness,0.82,0.78
absolutely fantastic quality,Neutral,neutral,0.6,0.6
i love this product it s amazing,Positive,joy,0.85,0.8
best purchase ever,Positive,joy,0.85,0.8
it was okay nothing special,Neutral,neutral,0.6,0.6
i am extremely disappointed,Negative,sadness,0.82,0.78
i love this product it s amazing,Positive,joy,0.85,0.8
absolutely fantastic quality,Neutral,neutral,0.6,0.6
the service was terrible,Negative,sadness,0.82,0.78
i feel happy today,Positive,joy,0.85,0.8
it was okay nothing special,Neutral,neutral,0.6,0.6
this is the worst experience i ve had,Negative,sadness,0.82,0.78
i love this product it s amazing,Positive,joy,0.85,0.8
this is the worst experience i ve had,Negative,sadness,0.82,0.78
this made my day so much better,Neutral,neutral,0.6,0.6
absolutely fantastic quality,Neutral,neutral,0.6,0.6
this is the worst experience i ve had,Negative,sadness,0.82,0.78
best purchase ever,Positive,joy,0.85,0.8
i am extremely disappointed,Negative,sadness,0.82,0.78
the service was terrible,Negative,sadness,0.82,0.78
i am extremely disappointed,Negative,sadness,0.82,0.78
i feel happy today,Positive,joy,0.85,0.8
i love this product it s amazing,Positive,joy,0.85,0.8
this made my day so much better,Neutral,neutral,0.6,0.6
i feel happy today,Positive,joy,0.85,0.8
this is the worst experience i ve had,Negative,sadness,0.82,0.78
this made my day so much better,Neutral,neutral,0.6,0.6
i love this product it s amazing,Positive,joy,0.85,0.8
it was okay nothing special,Neutral,neutral,0.6,0.6
i love this product it s amazing,Positive,joy,0.85,0.8
this is the worst experience i ve had,Negative,sadness,0.82,0.78
i am extremely disappointed,Negative,sadness,0.82,0.78
i love this product it s amazing,Positive,joy,0.85,0.8
i love this product it s amazing,Positive,joy,0.85,0.8
it was okay nothing special,Neutral,neutral,0.6,0.6
absolutely fantastic quality,Neutral,neutral,0.6,0.6
i am extremely disappointed,Negative,sadness,0.82,0.78
this is the worst experience i ve had,Negative,sadness,0.82,0.78
it was okay nothing special,Neutral,neutral,0.6,0.6
this is the worst experience i ve had,Negative,sadness,0.82,0.78
i feel happy today,Positive,joy,0.85,0.8
i am extremely disappointed,Negative,sadness,0.82,0.78
absolutely fantastic quality,Neutral,neutral,0.6,0.6
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
best purchase ever,Positive,joy,0.85,0.8
best purchase ever,Positive,joy,0.85,0.8
this made my day so much better,Neutral,neutral,0.6,0.6
i feel happy today,Positive,joy,0.85,0.8
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
i love this product it s amazing,Positive,joy,0.85,0.8
this is the worst experience i ve had,Negative,sadness,0.82,0.78
i feel happy today,Positive,joy,0.85,0.8
this is the worst experience i ve had,Negative,sadness,0.82,0.78
this made my day so much better,Neutral,neutral,0.6,0.6
i am extremely disappointed,Negative,sadness,0.82,0.78
this made my day so much better,Neutral,neutral,0.6,0.6
it was okay nothing special,Neutral,neutral,0.6,0.6
absolutely fantastic quality,Neutral,neutral,0.6,0.6
absolutely fantastic quality,Neutral,neutral,0.6,0.6
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
i feel happy today,Positive,joy,0.85,0.8
best purchase ever,Positive,joy,0.85,0.8
i feel happy today,Positive,joy,0.85,0.8
best purchase ever,Positive,joy,0.85,0.8
i love this product it s amazing,Positive,joy,0.85,0.8
this is the worst experience i ve had,Negative,sadness,0.82,0.78
i love this product it s amazing,Positive,joy,0.85,0.8
i am extremely disappointed,Negative,sadness,0.82,0.78
best purchase ever,Positive,joy,0.85,0.8
this made my day so much better,Neutral,neutral,0.6,0.6
this made my day so much better,Neutral,neutral,0.6,0.6
i feel happy today,Positive,joy,0.85,0.8
the service was terrible,Negative,sadness,0.82,0.78
it was okay nothing special,Neutral,neutral,0.6,0.6
this is the worst experience i ve had,Negative,sadness,0.82,0.78
this made my day so much better,Neutral,neutral,0.6,0.6
i am extremely disappointed,Negative,sadness,0.82,0.78
i am extremely disappointed,Negative,sadness,0.82,0.78
this made my day so much better,Neutral,neutral,0.6,0.6
i feel happy today,Positive,joy,0.85,0.8
absolutely fantastic quality,Neutral,neutral,0.6,0.6
the service was terrible,Negative,sadness,0.82,0.78
it was okay nothing special,Neutral,neutral,0.6,0.6
the service was terrible,Negative,sadness,0.82,0.78
the service was terrible,Negative,sadness,0.82,0.78
i am extremely disappointed,Negative,sadness,0.82,0.78
best purchase ever,Positive,joy,0.85,0.8
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
it was okay nothing special,Neutral,neutral,0.6,0.6
i feel happy today,Positive,joy,0.85,0.8
best purchase ever,Positive,joy,0.85,0.8
absolutely fantastic quality,Neutral,neutral,0.6,0.6
absolutely fantastic quality,Neutral,neutral,0.6,0.6
best purchase ever,Positive,joy,0.85,0.8
this made my day so much better,Neutral,neutral,0.6,0.6
i am extremely disappointed,Negative,sadness,0.82,0.78
this made my day so much better,Neutral,neutral,0.6,0.6
this is the worst experience i ve had,Negative,sadness,0.82,0.78
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
this is the worst experience i ve had,Negative,sadness,0.82,0.78
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
the service was terrible,Negative,sadness,0.82,0.78
this made my day so much better,Neutral,neutral,0.6,0.6
i am extremely disappointed,Negative,sadness,0.82,0.78
i feel happy today,Positive,joy,0.85,0.8
it was okay nothing special,Neutral,neutral,0.6,0.6
the service was terrible,Negative,sadness,0.82,0.78
i feel happy today,Positive,joy,0.85,0.8
this made my day so much better,Neutral,neutral,0.6,0.6
this made my day so much better,Neutral,neutral,0.6,0.6
i feel happy today,Positive,joy,0.85,0.8
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
i am extremely disappointed,Negative,sadness,0.82,0.78
best purchase ever,Positive,joy,0.85,0.8
the service was terrible,Negative,sadness,0.82,0.78
i feel happy today,Positive,joy,0.85,0.8
best purchase ever,Positive,joy,0.85,0.8
absolutely fantastic quality,Neutral,neutral,0.6,0.6
it was okay nothing special,Neutral,neutral,0.6,0.6
the service was terrible,Negative,sadness,0.82,0.78
this made my day so much better,Neutral,neutral,0.6,0.6
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
it was okay nothing special,Neutral,neutral,0.6,0.6
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
i am extremely disappointed,Negative,sadness,0.82,0.78
it was okay nothing special,Neutral,neutral,0.6,0.6
i am extremely disappointed,Negative,sadness,0.82,0.78
best purchase ever,Positive,joy,0.85,0.8
best purchase ever,Positive,joy,0.85,0.8
this is the worst experience i ve had,Negative,sadness,0.82,0.78
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
this made my day so much better,Neutral,neutral,0.6,0.6
i feel happy today,Positive,joy,0.85,0.8
absolutely fantastic quality,Neutral,neutral,0.6,0.6
absolutely fantastic quality,Neutral,neutral,0.6,0.6
i am extremely disappointed,Negative,sadness,0.82,0.78
i am extremely disappointed,Negative,sadness,0.82,0.78
the service was terrible,Negative,sadness,0.82,0.78
it was okay nothing special,Neutral,neutral,0.6,0.6
i am extremely disappointed,Negative,sadness,0.82,0.78
the service was terrible,Negative,sadness,0.82,0.78
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
i love this product it s amazing,Positive,joy,0.85,0.8
this is the worst experience i ve had,Negative,sadness,0.82,0.78
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
the service was terrible,Negative,sadness,0.82,0.78
absolutely fantastic quality,Neutral,neutral,0.6,0.6
best purchase ever,Positive,joy,0.85,0.8
absolutely fantastic quality,Neutral,neutral,0.6,0.6
absolutely fantastic quality,Neutral,neutral,0.6,0.6
it was okay nothing special,Neutral,neutral,0.6,0.6
i love this product it s amazing,Positive,joy,0.85,0.8
the service was terrible,Negative,sadness,0.82,0.78
i love this product it s amazing,Positive,joy,0.85,0.8
it was okay nothing special,Neutral,neutral,0.6,0.6
this made my day so much better,Neutral,neutral,0.6,0.6
it was okay nothing special,Neutral,neutral,0.6,0.6
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
this is the worst experience i ve had,Negative,sadness,0.82,0.78
this is the worst experience i ve had,Negative,sadness,0.82,0.78
this is the worst experience i ve had,Negative,sadness,0.82,0.78
absolutely fantastic quality,Neutral,neutral,0.6,0.6
i feel happy today,Positive,joy,0.85,0.8
i love this product it s amazing,Positive,joy,0.85,0.8
it was okay nothing special,Neutral,neutral,0.6,0.6
it was okay nothing special,Neutral,neutral,0.6,0.6
i feel happy today,Positive,joy,0.85,0.8
absolutely fantastic quality,Neutral,neutral,0.6,0.6
the service was terrible,Negative,sadness,0.82,0.78
this made my day so much better,Neutral,neutral,0.6,0.6
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
i am extremely disappointed,Negative,sadness,0.82,0.78
this is the worst experience i ve had,Negative,sadness,0.82,0.78
absolutely fantastic quality,Neutral,neutral,0.6,0.6
this made my day so much better,Neutral,neutral,0.6,0.6
i feel happy today,Positive,joy,0.85,0.8
it was okay nothing special,Neutral,neutral,0.6,0.6
absolutely fantastic quality,Neutral,neutral,0.6,0.6
i am extremely disappointed,Negative,sadness,0.82,0.78
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
best purchase ever,Positive,joy,0.85,0.8
i feel happy today,Positive,joy,0.85,0.8
absolutely fantastic quality,Neutral,neutral,0.6,0.6
i love this product it s amazing,Positive,joy,0.85,0.8
this is the worst experience i ve had,Negative,sadness,0.82,0.78
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
this made my day so much better,Neutral,neutral,0.6,0.6
i love this product it s amazing,Positive,joy,0.85,0.8
this is the worst experience i ve had,Negative,sadness,0.82,0.78
i feel happy today,Positive,joy,0.85,0.8
i am extremely disappointed,Negative,sadness,0.82,0.78
best purchase ever,Positive,joy,0.85,0.8
i feel happy today,Positive,joy,0.85,0.8
i love this product it s amazing,Positive,joy,0.85,0.8
this is the worst experience i ve had,Negative,sadness,0.82,0.78
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
i am extremely disappointed,Negative,sadness,0.82,0.78
i love this product it s amazing,Positive,joy,0.85,0.8
this is the worst experience i ve had,Negative,sadness,0.82,0.78
i feel happy today,Positive,joy,0.85,0.8
i feel happy today,Positive,joy,0.85,0.8
i feel happy today,Positive,joy,0.85,0.8
this made my day so much better,Neutral,neutral,0.6,0.6
i feel happy today,Positive,joy,0.85,0.8
i am extremely disappointed,Negative,sadness,0.82,0.78
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
this made my day so much better,Neutral,neutral,0.6,0.6
this made my day so much better,Neutral,neutral,0.6,0.6
the service was terrible,Negative,sadness,0.82,0.78
i am extremely disappointed,Negative,sadness,0.82,0.78
i love this product it s amazing,Positive,joy,0.85,0.8
i love this product it s amazing,Positive,joy,0.85,0.8
this is the worst experience i ve had,Negative,sadness,0.82,0.78
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
i feel happy today,Positive,joy,0.85,0.8
this is the worst experience i ve had,Negative,sadness,0.82,0.78
best purchase ever,Positive,joy,0.85,0.8
best purchase ever,Positive,joy,0.85,0.8
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
absolutely fantastic quality,Neutral,neutral,0.6,0.6
this made my day so much better,Neutral,neutral,0.6,0.6
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
absolutely fantastic quality,Neutral,neutral,0.6,0.6
i feel happy today,Positive,joy,0.85,0.8
i love this product it s amazing,Positive,joy,0.85,0.8
this made my day so much better,Neutral,neutral,0.6,0.6
this is the worst experience i ve had,Negative,sadness,0.82,0.78
it was okay nothing special,Neutral,neutral,0.6,0.6
absolutely fantastic quality,Neutral,neutral,0.6,0.6
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
i feel happy today,Positive,joy,0.85,0.8
the service was terrible,Negative,sadness,0.82,0.78
it was okay nothing special,Neutral,neutral,0.6,0.6
it was okay nothing special,Neutral,neutral,0.6,0.6
this made my day so much better,Neutral,neutral,0.6,0.6
the service was terrible,Negative,sadness,0.82,0.78
best purchase ever,Positive,joy,0.85,0.8
i am extremely disappointed,Negative,sadness,0.82,0.78
it was okay nothing special,Neutral,neutral,0.6,0.6
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
this is the worst experience i ve had,Negative,sadness,0.82,0.78
it was okay nothing special,Neutral,neutral,0.6,0.6
this is the worst experience i ve had,Negative,sadness,0.82,0.78
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
i am extremely disappointed,Negative,sadness,0.82,0.78
best purchase ever,Positive,joy,0.85,0.8
the service was terrible,Negative,sadness,0.82,0.78
absolutely fantastic quality,Neutral,neutral,0.6,0.6
absolutely fantastic quality,Neutral,neutral,0.6,0.6
absolutely fantastic quality,Neutral,neutral,0.6,0.6
the service was terrible,Negative,sadness,0.82,0.78
best purchase ever,Positive,joy,0.85,0.8
the service was terrible,Negative,sadness,0.82,0.78
the service was terrible,Negative,sadness,0.82,0.78
i feel happy today,Positive,joy,0.85,0.8
it was okay nothing special,Neutral,neutral,0.6,0.6
i feel happy today,Positive,joy,0.85,0.8
i am extremely disappointed,Negative,sadness,0.82,0.78
this is the worst experience i ve had,Negative,sadness,0.82,0.78
this is the worst experience i ve had,Negative,sadness,0.82,0.78
the service was terrible,Negative,sadness,0.82,0.78
this is the worst experience i ve had,Negative,sadness,0.82,0.78
i feel happy today,Positive,joy,0.85,0.8
absolutely fantastic quality,Neutral,neutral,0.6,0.6
the service was terrible,Negative,sadness,0.82,0.78
i am extremely disappointed,Negative,sadness,0.82,0.78
the service was terrible,Negative,sadness,0.82,0.78
the service was terrible,Negative,sadness,0.82,0.78
it was okay nothing special,Neutral,neutral,0.6,0.6
this is the worst experience i ve had,Negative,sadness,0.82,0.78
this is the worst experience i ve had,Negative,sadness,0.82,0.78
i love this product it s amazing,Positive,joy,0.85,0.8
i feel happy today,Positive,joy,0.85,0.8
i feel happy today,Positive,joy,0.85,0.8
i am extremely disappointed,Negative,sadness,0.82,0.78
i am extremely disappointed,Negative,sadness,0.82,0.78
best purchase ever,Positive,joy,0.85,0.8
best purchase ever,Positive,joy,0.85,0.8
i feel happy today,Positive,joy,0.85,0.8
i love this product it s amazing,Positive,joy,0.85,0.8
this is the worst experience i ve had,Negative,sadness,0.82,0.78
i love this product it s amazing,Positive,joy,0.85,0.8
best purchase ever,Positive,joy,0.85,0.8
absolutely fantastic quality,Neutral,neutral,0.6,0.6
absolutely fantastic quality,Neutral,neutral,0.6,0.6
i am extremely disappointed,Negative,sadness,0.82,0.78
the service was terrible,Negative,sadness,0.82,0.78
it was okay nothing special,Neutral,neutral,0.6,0.6
it was okay nothing special,Neutral,neutral,0.6,0.6
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
this made my day so much better,Neutral,neutral,0.6,0.6
best purchase ever,Positive,joy,0.85,0.8
absolutely fantastic quality,Neutral,neutral,0.6,0.6
absolutely fantastic quality,Neutral,neutral,0.6,0.6
it was okay nothing special,Neutral,neutral,0.6,0.6
it was okay nothing special,Neutral,neutral,0.6,0.6
absolutely fantastic quality,Neutral,neutral,0.6,0.6
i love this product it s amazing,Positive,joy,0.85,0.8
i am extremely disappointed,Negative,sadness,0.82,0.78
i love this product it s amazing,Positive,joy,0.85,0.8
i am extremely disappointed,Negative,sadness,0.82,0.78
this made my day so much better,Neutral,neutral,0.6,0.6
absolutely fantastic quality,Neutral,neutral,0.6,0.6
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
best purchase ever,Positive,joy,0.85,0.8
i feel happy today,Positive,joy,0.85,0.8
this is the worst experience i ve had,Negative,sadness,0.82,0.78
best purchase ever,Positive,joy,0.85,0.8
the service was terrible,Negative,sadness,0.82,0.78
i love this product it s amazing,Positive,joy,0.85,0.8
it was okay nothing special,Neutral,neutral,0.6,0.6
this is the worst experience i ve had,Negative,sadness,0.82,0.78
absolutely fantastic quality,Neutral,neutral,0.6,0.6
i feel happy today,Positive,joy,0.85,0.8
i am extremely disappointed,Negative,sadness,0.82,0.78
this is the worst experience i ve had,Negative,sadness,0.82,0.78
absolutely fantastic quality,Neutral,neutral,0.6,0.6
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
best purchase ever,Positive,joy,0.85,0.8
best purchase ever,Positive,joy,0.85,0.8
i feel happy today,Positive,joy,0.85,0.8
i love this product it s amazing,Positive,joy,0.85,0.8
i am extremely disappointed,Negative,sadness,0.82,0.78
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
i am extremely disappointed,Negative,sadness,0.82,0.78
i love this product it s amazing,Positive,joy,0.85,0.8
i love this product it s amazing,Positive,joy,0.85,0.8
i love this product it s amazing,Positive,joy,0.85,0.8
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
i love this product it s amazing,Positive,joy,0.85,0.8
it was okay nothing special,Neutral,neutral,0.6,0.6
this is the worst experience i ve had,Negative,sadness,0.82,0.78
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
i feel happy today,Positive,joy,0.85,0.8
i am extremely disappointed,Negative,sadness,0.82,0.78
this made my day so much better,Neutral,neutral,0.6,0.6
this is the worst experience i ve had,Negative,sadness,0.82,0.78
this made my day so much better,Neutral,neutral,0.6,0.6
i feel happy today,Positive,joy,0.85,0.8
absolutely fantastic quality,Neutral,neutral,0.6,0.6
best purchase ever,Positive,joy,0.85,0.8
absolutely fantastic quality,Neutral,neutral,0.6,0.6
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
best purchase ever,Positive,joy,0.85,0.8
i love this product it s amazing,Positive,joy,0.85,0.8
absolutely fantastic quality,Neutral,neutral,0.6,0.6
it was okay nothing special,Neutral,neutral,0.6,0.6
this is the worst experience i ve had,Negative,sadness,0.82,0.78
absolutely fantastic quality,Neutral,neutral,0.6,0.6
this made my day so much better,Neutral,neutral,0.6,0.6
absolutely fantastic quality,Neutral,neutral,0.6,0.6
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
i am extremely disappointed,Negative,sadness,0.82,0.78
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
this made my day so much better,Neutral,neutral,0.6,0.6
this made my day so much better,Neutral,neutral,0.6,0.6
the service was terrible,Negative,sadness,0.82,0.78
it was okay nothing special,Neutral,neutral,0.6,0.6
it was okay nothing special,Neutral,neutral,0.6,0.6
this made my day so much better,Neutral,neutral,0.6,0.6
this made my day so much better,Neutral,neutral,0.6,0.6
i am extremely disappointed,Negative,sadness,0.82,0.78
best purchase ever,Positive,joy,0.85,0.8
best purchase ever,Positive,joy,0.85,0.8
i feel happy today,Positive,joy,0.85,0.8
it was okay nothing special,Neutral,neutral,0.6,0.6
it was okay nothing special,Neutral,neutral,0.6,0.6
this made my day so much better,Neutral,neutral,0.6,0.6
this is the worst experience i ve had,Negative,sadness,0.82,0.78
i love this product it s amazing,Positive,joy,0.85,0.8
it was okay nothing special,Neutral,neutral,0.6,0.6
it was okay nothing special,Neutral,neutral,0.6,0.6
i am extremely disappointed,Negative,sadness,0.82,0.78
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
i feel happy today,Positive,joy,0.85,0.8
i feel happy today,Positive,joy,0.85,0.8
best purchase ever,Positive,joy,0.85,0.8
i feel happy today,Positive,joy,0.85,0.8
best purchase ever,Positive,joy,0.85,0.8
this is the worst experience i ve had,Negative,sadness,0.82,0.78
i am extremely disappointed,Negative,sadness,0.82,0.78
i feel happy today,Positive,joy,0.85,0.8
this made my day so much better,Neutral,neutral,0.6,0.6
it was okay nothing special,Neutral,neutral,0.6,0.6
this is the worst experience i ve had,Negative,sadness,0.82,0.78
i feel happy today,Positive,joy,0.85,0.8
it was okay nothing special,Neutral,neutral,0.6,0.6
it was okay nothing special,Neutral,neutral,0.6,0.6
i am extremely disappointed,Negative,sadness,0.82,0.78
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
best purchase ever,Positive,joy,0.85,0.8
this made my day so much better,Neutral,neutral,0.6,0.6
it was okay nothing special,Neutral,neutral,0.6,0.6
the service was terrible,Negative,sadness,0.82,0.78
this made my day so much better,Neutral,neutral,0.6,0.6
this made my day so much better,Neutral,neutral,0.6,0.6
best purchase ever,Positive,joy,0.85,0.8
this is the worst experience i ve had,Negative,sadness,0.82,0.78
this is the worst experience i ve had,Negative,sadness,0.82,0.78
best purchase ever,Positive,joy,0.85,0.8
absolutely fantastic quality,Neutral,neutral,0.6,0.6
this made my day so much better,Neutral,neutral,0.6,0.6
absolutely fantastic quality,Neutral,neutral,0.6,0.6
this is the worst experience i ve had,Negative,sadness,0.82,0.78
i am extremely disappointed,Negative,sadness,0.82,0.78
absolutely fantastic quality,Neutral,neutral,0.6,0.6
i love this product it s amazing,Positive,joy,0.85,0.8
i love this product it s amazing,Positive,joy,0.85,0.8
the service was terrible,Negative,sadness,0.82,0.78
i feel happy today,Positive,joy,0.85,0.8
absolutely fantastic quality,Neutral,neutral,0.6,0.6
i am extremely disappointed,Negative,sadness,0.82,0.78
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
best purchase ever,Positive,joy,0.85,0.8
this is the worst experience i ve had,Negative,sadness,0.82,0.78
best purchase ever,Positive,joy,0.85,0.8
i am extremely disappointed,Negative,sadness,0.82,0.78
i feel happy today,Positive,joy,0.85,0.8
this made my day so much better,Neutral,neutral,0.6,0.6
absolutely fantastic quality,Neutral,neutral,0.6,0.6
the service was terrible,Negative,sadness,0.82,0.78
absolutely fantastic quality,Neutral,neutral,0.6,0.6
absolutely fantastic quality,Neutral,neutral,0.6,0.6
this is the worst experience i ve had,Negative,sadness,0.82,0.78
i love this product it s amazing,Positive,joy,0.85,0.8
i feel happy today,Positive,joy,0.85,0.8
i am extremely disappointed,Negative,sadness,0.82,0.78
absolutely fantastic quality,Neutral,neutral,0.6,0.6
it was okay nothing special,Neutral,neutral,0.6,0.6
absolutely fantastic quality,Neutral,neutral,0.6,0.6
the service was terrible,Negative,sadness,0.82,0.78
this is the worst experience i ve had,Negative,sadness,0.82,0.78
this made my day so much better,Neutral,neutral,0.6,0.6
this is the worst experience i ve had,Negative,sadness,0.82,0.78
best purchase ever,Positive,joy,0.85,0.8
this is the worst experience i ve had,Negative,sadness,0.82,0.78
i love this product it s amazing,Positive,joy,0.85,0.8
best purchase ever,Positive,joy,0.85,0.8
best purchase ever,Positive,joy,0.85,0.8
the service was terrible,Negative,sadness,0.82,0.78
i love this product it s amazing,Positive,joy,0.85,0.8
i love this product it s amazing,Positive,joy,0.85,0.8
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
it was okay nothing special,Neutral,neutral,0.6,0.6
absolutely fantastic quality,Neutral,neutral,0.6,0.6
this is the worst experience i ve had,Negative,sadness,0.82,0.78
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
i feel happy today,Positive,joy,0.85,0.8
i feel happy today,Positive,joy,0.85,0.8
i am extremely disappointed,Negative,sadness,0.82,0.78
i am extremely disappointed,Negative,sadness,0.82,0.78
this is the worst experience i ve had,Negative,sadness,0.82,0.78
it was okay nothing special,Neutral,neutral,0.6,0.6
i feel happy today,Positive,joy,0.85,0.8
best purchase ever,Positive,joy,0.85,0.8
i am extremely disappointed,Negative,sadness,0.82,0.78
i love this product it s amazing,Positive,joy,0.85,0.8
i feel happy today,Positive,joy,0.85,0.8
this made my day so much better,Neutral,neutral,0.6,0.6
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
i am extremely disappointed,Negative,sadness,0.82,0.78
i am extremely disappointed,Negative,sadness,0.82,0.78
this made my day so much better,Neutral,neutral,0.6,0.6
absolutely fantastic quality,Neutral,neutral,0.6,0.6
i am extremely disappointed,Negative,sadness,0.82,0.78
i feel happy today,Positive,joy,0.85,0.8
the service was terrible,Negative,sadness,0.82,0.78
i love this product it s amazing,Positive,joy,0.85,0.8
i love this product it s amazing,Positive,joy,0.85,0.8
best purchase ever,Positive,joy,0.85,0.8
i feel happy today,Positive,joy,0.85,0.8
it was okay nothing special,Neutral,neutral,0.6,0.6
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
it was okay nothing special,Neutral,neutral,0.6,0.6
absolutely fantastic quality,Neutral,neutral,0.6,0.6
i love this product it s amazing,Positive,joy,0.85,0.8
i feel happy today,Positive,joy,0.85,0.8
i love this product it s amazing,Positive,joy,0.85,0.8
i love this product it s amazing,Positive,joy,0.85,0.8
this is the worst experience i ve had,Negative,sadness,0.82,0.78
the service was terrible,Negative,sadness,0.82,0.78
it was okay nothing special,Neutral,neutral,0.6,0.6
i love this product it s amazing,Positive,joy,0.85,0.8
i feel happy today,Positive,joy,0.85,0.8
absolutely fantastic quality,Neutral,neutral,0.6,0.6
i m not sure how i feel about this,Neutral,neutral,0.6,0.6
best purchase ever,Positive,joy,0.85,0.8
i am extremely disappointed,Negative,sadness,0.82,0.78
i love this product it s amazing,Positive,joy,0.85,0.8
i feel happy today,Positive,joy,0.85,0.8
i am extremely disappointed,Negative,sadness,0.82,0.78
i feel happy today,Positive,joy,0.85,0.8
i love this product it s amazing,Positive,joy,0.85,0.8
absolutely fantastic quality,Neutral,neutral,0.6,0.6
absolutely fantastic quality,Neutral,neutral,0.6,0.6
i am extremely disappointed,Negative,sadness,0.82,0.78
this made my day so much better,Neutral,neutral,0.6,0.6
i am extremely disappointed,Negative,sadness,0.82,0.78
the service was terrible,Negative,sadness,0.82,0.78
this is the worst experience i ve had,Negative,sadness,0.82,0.78
